Name,Info1,Info2,Discount %,Price,Rating,Release
Machinika: Museum,,,-100%,"R$ 0,00",87.68%,Mar 2021
ENDLESS™ Legend,,,-100%,"R$ 0,00",82.24%,Sep 2014
100% Orange Juice,,,-100%,"R$ 0,00",90.41%,Sep 2013
Killing Floor 2,,,-95%,"R$ 2,79",86.56%,Nov 2016
Wizard with a Gun,,,-50%,"R$ 29,99",78.02%,Oct 2023
Lil Gator Game,,,-50%,"R$ 29,99",95.00%,Dec 2022
Killing Floor,,,-90%,"R$ 3,49",93.37%,May 2009
The Forgotten City,,,-65%,"R$ 25,89",93.24%,Jul 2021
Poly Bridge 2,,,-80%,"R$ 5,79",92.26%,May 2020
Poly Bridge 3,,,-68%,"R$ 35,07",90.56%,May 2023
UNSIGHTED,,,-60%,"R$ 19,99",88.84%,Sep 2021
The Wild at Heart,,,-60%,"R$ 18,99",88.77%,May 2021
CaseCracker,,,-50%,"R$ 10,34",88.74%,Dec 2022
Broken Reality,,,-85%,"R$ 4,34",88.71%,Nov 2018
Paper Beast,,,-75%,"R$ 11,49",88.01%,Jul 2020
Blade of Darkness,,,-60%,"R$ 11,59",87.93%,Oct 2021
Root,,,-60%,"R$ 11,59",86.04%,Sep 2020
The House of Da Vinci 3,,,-50%,"R$ 29,99",86.03%,Dec 2022
Archvale,,,-50%,"R$ 22,49",85.36%,Dec 2021
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,,,-70%,"R$ 21,89",85.02%,Sep 2020
Foretales,,,-50%,"R$ 22,99",82.04%,Sep 2022
Trombone Champ,,,-60%,"R$ 11,59",94.85%,Sep 2022
Alba: A Wildlife Adventure,,,-75%,"R$ 13,12",94.21%,Dec 2020
Carto,,,-70%,"R$ 11,39",93.55%,Oct 2020
Unpacking,,,-50%,"R$ 29,99",90.91%,Nov 2021
One Step From Eden,,,-60%,"R$ 15,19",90.58%,Mar 2020
OTXO,,,-50%,"R$ 14,49",89.78%,Apr 2023
Poly Bridge,,,-90%,"R$ 2,06",89.26%,Jul 2016
Return to Monkey Island,,,-50%,"R$ 36,99",89.23%,Sep 2022
Wizard of Legend,,,-70%,"R$ 9,29",88.90%,May 2018
Minecraft Dungeons,,,-50%,"R$ 37,47",88.84%,Sep 2021
Forager,,,-65%,"R$ 13,29",88.52%,Apr 2019
Re: LieF ~ Shin'ainaru Anata e~,,,-58%,"R$ 27,71",88.45%,Feb 2021
Ring of Pain,,,-70%,"R$ 11,39",88.35%,Oct 2020
Assassin's Creed® Odyssey,,,-85%,"R$ 26,99",88.14%,Oct 2018
Stellaris,Top Seller,"2-year low: R$ 23,74",-70%,"R$ 43,19",86.77%,May 2016
Anarcute,,,-80%,"R$ 7,19",86.56%,Jul 2016
